tpm,treatment,tissue
2.08721,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
3.27823,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
3.82434,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
2.50714,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
1.05129,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
1.68595,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
0.901738,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
3.5453900000000003,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
23.9052,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
1.1296700000000002,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
0.894294,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
2.6889,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
3.77997,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
1.4731299999999998,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
1.08815,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
3.90358,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
1.46938,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
0.78115,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
2.71016,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
1.94268,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
3.39247,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
0.945729,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
2.30832,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.7524430000000001,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
4.3832900000000015,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
7.87368,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.411462,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
4.26127,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
3.06368,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
4.05914,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
6.11645,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
5.1735,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
1.28185,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
1.76236,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
3.65611,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
5.44648,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.612182,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
5.8219699999999985,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
1.45912,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
2.94378,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
1.55695,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
6.08635,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
1.05708,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
4.22025,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
2.46519,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.467671,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
1.21666,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
4.86669,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
4.62293,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
1.63581,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
3.59047,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
8.10339,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
6.07636,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.763055,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
3.51507,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
2.83951,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.381197,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
1.13869,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
6.894539999999999,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
5.90106,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
3.85174,Hyaloperonospora arabidopsidis_Waco9,aerial shoot
