tpm,treatment,tissue
0.0,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
2.05572,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
0.390046,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
1.8858,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
2.29057,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
1.74718,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
2.83276,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
1.73988,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
1.01757,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
4.90779,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
0.989084,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
2.03347,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
7.20189,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
4.19538,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
1.92354,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
0.741149,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
1.95783,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
2.83573,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
1.97837,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
3.23605,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
4.40569,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
2.56407,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
2.66335,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
1.5061,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
1.54366,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
2.6554,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
3.77359,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
2.2614400000000003,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
0.464074,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
1.94152,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
7.598389999999998,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
5.1368,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
3.85174,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
4.26127,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
3.06368,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
4.05914,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
3.65611,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
1.28185,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
5.44648,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
